countryID,medelID,hostID,GDP(pc)
0,3,0,1913.219721
1,3,1,10408.71912
2,1,1,63528.6343
3,3,0,3895.618152
4,3,0,1322.314783
5,3,0,2074.613928
6,3,1,6923.700197
7,3,0,2233.305893
8,3,1,10194.44141
9,3,0,918.6525941
10,3,1,8654.997325
11,3,1,39986.92863
12,3,0,3224.422811
13,3,0,3571.556907
14,3,0,524.6666863
15,3,0,3586.347297
16,3,0,2746.419483
17,3,0,8561.064333
18,2,1,46772.82535
19,3,0,7001.785413
20,3,0,1104.164429
21,2,1,40318.41692
22,3,1,39055.28293
23,3,0,5741.641249
24,3,1,31918.69349
25,3,0,1936.250752
26,3,0,1477.452905
27,3,0,5304.289129
28,3,1,31721.29802
29,3,0,846.8811992
30,3,0,608.3325195
31,3,1,26959.67544
32,3,0,4251.337253
33,3,0,3354.157303
34,3,0,8496.428157
35,3,0,516.8667974
36,3,0,15816.8204
37,3,1,43349.67786
38,3,0,3258.10498
39,3,0,3751.737305
40,3,0,1502.950754
41,3,0,0.0
42,3,0,1759.307471
43,3,0,0.0
44,3,0,454.0623643
45,3,0,2176.576218
46,3,0,6063.62658
47,3,0,10160.82935
48,3,0,1139.189892
49,3,0,462.4042288
50,3,0,2349.069882
51,3,0,0.0
52,3,0,1539.130547
53,3,0,564.8219973
54,3,1,51722.069
55,3,0,0.0
56,3,0,0.0
57,3,0,822.9061375
58,3,0,0.0
59,3,0,833.2443361
60,3,0,3852.389968
61,3,0,622.1845914
62,3,0,956.8317475
63,3,0,9121.636402
64,3,0,13165.38634
65,3,0,13047.45768
66,3,0,643.7722162
67,3,0,0.0
68,3,0,5645.19929
69,3,0,4609.897258
70,3,0,1492.475904
71,3,1,52162.57012
72,3,0,1577.91174
73,3,0,1372.696674
74,3,0,1073.659339
75,3,0,773.8205575
76,3,0,1237.949295
77,3,0,216.8274174
78,3,0,3068.812555
79,3,0,3497.733231
80,3,0,1283.141228
81,3,1,45517.90382
82,3,0,7167.914932
83,3,0,3987.650174
84,3,0,0.0
85,3,0,9499.590202
86,3,0,2354.12148
87,3,1,52837.90398
88,3,0,2446.084413
89,3,0,22992.87938
90,3,0,4229.910649
91,3,0,852.3302296
92,3,1,17658.9473
93,3,0,22242.40642
94,3,0,16125.60941
95,3,0,37629.17417
96,3,0,6542.86454
97,3,0,44846.7916
98,3,0,875.2454099
99,3,0,493.4322524
100,3,1,48809.22688
101,3,1,85656.32267
102,3,0,2593.355097
103,3,0,0.0
104,3,0,1876.607372
105,3,1,7733.803494
106,3,0,0.0
107,3,0,5353.348045
108,3,0,1182.521506
109,3,0,10153.4766
110,3,0,7297.180042
111,3,0,3961.726633
112,3,0,1838.448124
113,3,0,61274.00646
114,3,0,60915.4244
115,3,0,435.4692482
116,3,0,19551.62116
117,3,1,49169.71934
118,3,0,597.5296919
119,3,1,68340.0181
120,3,0,0.0
121,3,0,41760.59478
122,3,0,12179.25667
123,3,0,5599.957523
124,3,0,85420.19086
125,3,0,1868.468248
126,3,0,16707.62301
127,3,0,13293.33321
128,3,0,24297.70114
129,3,0,14236.53525
130,3,0,0.0
131,3,0,4255.742993
132,3,0,4041.174145
133,3,0,15650.49943
134,3,0,4376.242493
135,3,0,0.0
136,3,0,6095.102479
137,3,0,704.0304578
138,3,0,5343.037704
139,3,0,4897.26477
140,3,0,4505.867746
141,3,0,52315.66008
142,3,0,5875.070606
143,3,0,20363.92441
144,3,0,4252.041807
145,3,0,6680.08267
146,3,0,939.5042491
147,3,0,710.258133
148,3,0,25545.241
149,3,0,5965.450232
150,3,0,18207.13964
151,3,0,6327.598962
152,3,0,13871.79822
153,3,0,23433.18724
154,3,0,1660.308309
155,3,0,23595.24368
156,3,0,9005.462022
157,3,0,28035.98438
158,3,0,3372.904639
159,3,0,2917.996281
160,3,0,0.0
161,3,0,4864.106008
162,3,0,1519.58678
163,3,0,6863.074346
164,3,0,3009.925516
165,3,0,2222.462143
166,3,0,0.0
167,3,0,117370.4969
168,3,0,4796.533314
169,3,0,7677.369141
170,3,0,3223.735602
171,3,0,0.0
172,3,0,29196.97775
173,3,0,7282.372916
174,3,0,27179.34442
175,3,0,5266.87616
176,3,0,23998.26802
177,3,0,0.0
178,3,0,58813.79698
179,3,0,0.0
180,3,0,0.0
181,3,0,2917.756849
182,3,0,0.0
183,3,0,0.0
184,3,0,0.0
185,3,0,16643.80658
186,3,0,2161.310201
187,3,0,4042.722715
188,3,0,0.0
189,3,0,8458.075063
190,3,0,0.0
191,3,0,1403.993738
192,3,0,8437.536782
193,3,0,3639.412699
194,3,0,0.0
195,3,0,4605.970878
196,3,0,12020.02191
197,3,0,0.0
198,3,0,8306.367581
199,3,0,0.0
200,3,0,15284.77238
201,3,0,0.0
202,3,0,37207.222
203,3,0,7003.469891
204,3,0,0.0
205,3,0,0.0
206,3,0,0.0
207,3,0,0.0
208,3,0,0.0
209,3,0,0.0
210,3,0,18566.01785
211,3,0,0.0
212,3,0,0.0
213,3,0,0.0
214,3,0,5567.972727
215,3,0,0.0
216,3,0,182537.3046
217,3,0,45321.48922
218,3,0,0.0
219,3,0,0.0
220,3,0,0.0
221,3,0,14016.2475
222,3,0,0.0
223,3,0,0.0
224,3,0,10124.7005
225,3,0,4674.909088
226,3,0,0.0
227,3,0,0.0
228,3,0,0.0
229,3,0,0.0
230,3,0,0.0
231,3,0,0.0
232,3,0,0.0
233,3,0,0.0
